Ek_folder,Ek,Pr,m,Ra_c,omega_c,crossing_found,sigma_min,status
Ek1e-6,1e-06,0.3,75,1723.0931712838326,-8391.815769880239,True,0.0226202,ok
Ek1e-6,1e-06,0.3,80,1926.830371217006,-7611.988110167968,True,0.00252471,ok
Ek1e-6,1e-06,0.3,85,2153.290060897119,-6578.229622898381,True,0.00040602,ok
Ek1e-6,1e-06,0.3,90,2399.700000101,-5225.909999292068,True,6.76549e-07,ok
Ek1e-6,1e-06,0.3,95,2654.18,-3500.59,True,1.36845e-10,ok
Ek1e-6,1e-06,0.3,100,2885.02,-1551.49,True,1.70785e-09,ok
Ek1e-6,1e-06,0.3,105,3066.6499999969355,115.4359999700193,True,4.12178e-08,ok
Ek1e-6,1e-06,0.3,110,3220.4,1272.99,True,1.3757e-10,ok
Ek1e-6,1e-06,0.3,115,3372.39,2046.87,True,4.66281e-10,ok
Ek1e-6,1e-06,0.3,120,3535.31,2573.0,True,5.23976e-11,ok
Ek1e-6,1e-06,0.5,1,2213.829545137827,-970.3528180551308,True,0.000110013,ok
Ek1e-6,1e-06,0.5,2,1629.2301495000331,-1538.5301051428803,True,0.000100343,ok
Ek1e-6,1e-06,0.5,3,1340.5599155694422,-1972.3098874259229,True,0.00010672,ok
Ek1e-6,1e-06,0.5,4,1165.1500877013298,-2334.0000996397303,True,0.000137567,ok
Ek1e-6,1e-06,0.5,5,1045.9499805108278,-2648.7699610216555,True,4.94613e-05,ok
Ek1e-6,1e-06,0.5,6,959.2403560471696,-2929.7005214079886,True,0.000874971,ok
Ek1e-6,1e-06,0.5,7,893.2157884472222,-3184.659665075563,True,0.000621773,ok
Ek1e-6,1e-06,0.5,8,841.3094713456303,-3418.789108502565,True,0.00161544,ok
Ek1e-6,1e-06,0.5,9,799.5403261408284,-3635.6888034602944,True,0.00258814,ok
Ek1e-6,1e-06,0.5,10,765.3430399992956,-3837.9800733688735,True,0.00016624,ok
Ek1e-6,1e-06,0.5,11,736.9808942726439,-4027.669788545288,True,0.000523911,ok
Ek1e-6,1e-06,0.5,12,713.2347640589054,-4206.309410147264,True,0.001182,ok
Ek1e-6,1e-06,0.5,13,693.2209714024738,-4375.12,True,0.000155978,ok
Ek1e-6,1e-06,0.5,14,676.2799782229405,-4535.119927409802,True,0.000109272,ok
Ek1e-6,1e-06,0.5,15,661.912806106876,-4687.123499583479,True,0.00129153,ok
Ek1e-6,1e-06,0.5,16,649.7246164785059,-4831.8,True,0.00381699,ok
Ek1e-6,1e-06,0.5,17,639.4154729731528,-4969.750899519493,True,0.003161,ok
Ek1e-6,1e-06,0.5,18,630.7374735076197,-5101.45,True,0.000872014,ok
Ek1e-6,1e-06,0.5,19,623.4950191962012,-5227.32,True,0.000132475,ok
Ek1e-6,1e-06,0.5,20,617.5240116422726,-5347.720020313341,True,8.76717e-05,ok
Ek1e-6,1e-06,0.5,21,612.693120433153,-5462.950204657645,True,0.000937582,ok
Ek1e-6,1e-06,0.5,22,608.8909149711599,-5573.279864860404,True,0.000699599,ok
Ek1e-6,1e-06,0.5,23,606.0240053145478,-5678.950007676569,True,4.39992e-05,ok
Ek1e-6,1e-06,0.5,24,604.0140122246816,-5780.140017383722,True,0.000103664,ok
Ek1e-6,1e-06,0.5,25,602.7947568234986,-5877.048784117493,True,0.00198179,ok
Ek1e-6,1e-06,0.5,30,606.8481215713371,-6301.831215713371,True,0.00200928,ok
Ek1e-6,1e-06,0.5,35,624.9039928985483,-6634.939998904474,True,7.14763e-05,ok
Ek1e-6,1e-06,0.5,40,654.7303024632056,-6881.543024632056,True,0.000960876,ok
Ek1e-6,1e-06,0.5,45,695.3440272589742,-7041.929967069696,True,0.000280806,ok
Ek1e-6,1e-06,0.5,50,746.4330047172864,-7112.789991374105,True,4.86472e-05,ok
Ek1e-6,1e-06,0.5,55,808.0659996201517,-7087.920000934575,True,3.91426e-06,ok
Ek1e-6,1e-06,0.5,60,880.5119999856231,-6958.380000044688,True,1.4462e-07,ok
Ek1e-6,1e-06,0.5,65,964.1000390831372,-6712.396078299127,True,0.0101727,ok
Ek1e-6,1e-06,0.5,70,1059.0498055616365,-6335.030861834908,True,0.00184917,ok
Ek1e-6,1e-06,0.5,75,1165.229967475636,-5807.780165156762,True,0.00030916,ok
Ek1e-6,1e-06,0.5,80,1281.7300012186076,-5109.079992146751,True,1.21717e-05,ok
Ek1e-6,1e-06,0.5,85,1405.910000046226,-4218.849999670657,True,4.47959e-07,ok
Ek1e-6,1e-06,0.5,90,1531.7500000712507,-3139.0199994089844,True,7.71723e-07,ok
Ek1e-6,1e-06,0.5,95,1648.9,-1950.45,True,9.004e-10,ok
Ek1e-6,1e-06,0.5,100,1749.8,-838.171,True,7.49499e-11,ok
